,area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources,accommodation,course_curriculum,teaching_quality,student_satisfaction
7/13/2023 12:49:25,Student support services,Likely,Excellent,Good,Good,Good,Yes,4,4,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Excellent,4
7/13/2023 12:55:46,Campus facilities,Very likely,Good,Good,Good,Excellent,Yes,4,4,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Good,4
7/13/2023 12:55:53,Other,Likely,Good,Excellent,Excellent,Good,Yes,4,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
7/13/2023 13:34:33,Campus facilities,Likely,Average,Excellent,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Average,5
7/13/2023 13:36:09,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 14:18:40,Student support services,Neutral,Average,Average,Average,Average,Yes,3,3,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 14:20:15,Other,Very likely,Excellent,Excellent,Excellent,Good,Yes,5,5,No,Very Available,Excellent,Good,Extremely satisfied,Good,Good,5
7/13/2023 14:20:31,Student support services,Neutral,Average,Average,Good,Good,Yes,3,3,Yes,Moderately Available,Poor,Good,Moderately satisfied,Average,Good,3
7/13/2023 14:21:03,Campus facilities,Very likely,Average,Poor,Average,Excellent,Yes,3,3,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Average,Good,5
7/13/2023 14:21:08,Campus facilities,Very likely,Excellent,Good,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Good,Very satisfied,Excellent,Good,5
7/13/2023 14:21:43,Communication and information,Likely,Good,Good,Good,Good,Yes,4,4,No,Very Available,Excellent,Excellent,Moderately satisfied,Good,Good,4
7/13/2023 14:22:17,Campus facilities,Neutral,Excellent,Good,Average,Average,No,4,3,Yes,Moderately Available,Average,Poor,Moderately satisfied,Good,Excellent,3
7/13/2023 14:25:12,Other,Likely,Good,Excellent,Good,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Good,4
7/13/2023 14:26:39,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 14:27:31,Communication and information,Likely,Good,Good,Good,Excellent,Yes,5,4,Yes,Very Available,Good,Good,Moderately satisfied,Good,Excellent,3
7/13/2023 14:28:09,Communication and information,Very likely,Excellent,Good,Excellent,Excellent,Yes,4,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Good,Excellent,5
7/13/2023 14:30:38,Academics,Very likely,Excellent,Excellent,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Average,Extremely satisfied,Good,Good,5
7/13/2023 14:33:29,Campus facilities,Very likely,Good,Excellent,Excellent,Excellent,Yes,4,4,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Good,5
7/13/2023 14:33:40,Academics,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,3
7/13/2023 14:40:57,Academics,Likely,Good,Good,Good,Excellent,Yes,4,4,Yes,Very Available,Good,Good,Very satisfied,Excellent,Good,4
7/13/2023 14:41:32,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 14:45:38,Student support services,Very likely,Good,Good,Excellent,Good,Yes,4,4,No,Moderately Available,Good,Excellent,Extremely satisfied,Good,Good,4
7/13/2023 14:48:42,Campus facilities,Very likely,Excellent,Excellent,Good,Good,Yes,1,1,Yes,Very Available,Excellent,Good,Extremely satisfied,Excellent,Good,2
7/13/2023 14:49:33,Academics,Likely,Good,Average,Good,Good,Yes,3,3,Yes,Moderately Available,Good,Good,Slightly satisfied,Good,Good,3
7/13/2023 14:49:50,Campus facilities,Likely,Good,Good,Good,Good,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 14:52:05,Other,Likely,Good,Average,Good,Excellent,Yes,4,3,Yes,Moderately Available,Good,Good,Moderately satisfied,Average,Good,4
7/13/2023 15:00:03,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 15:06:14,Student support services,Likely,Average,Average,Good,Good,Yes,5,5,Yes,Moderately Available,Good,Excellent,Moderately satisfied,Good,Excellent,3
7/13/2023 15:08:59,Student support services,Likely,Good,Good,Average,Good,Yes,4,3,Yes,Very Available,Good,Good,Very satisfied,Good,Good,3
7/13/2023 15:10:02,Academics,Likely,Good,Average,Below Average,Average,Yes,5,5,No,Slightly Available,Good,Good,Moderately satisfied,Good,Excellent,3
7/13/2023 15:11:43,Campus facilities,Likely,Good,Good,Good,Good,Yes,4,5,Yes,Moderately Available,Good,Good,Moderately satisfied,Excellent,Good,4
7/13/2023 15:13:44,Student support services,Unlikely,Poor,Average,Poor,Below Average,Yes,1,1,No,Not Available,Below Average,Average,Not satisfied,Below Average,Below Average,1
7/13/2023 15:19:47,Other,Very likely,Excellent,Average,Good,Excellent,Yes,4,4,Yes,Slightly Available,Excellent,Excellent,Not satisfied,Excellent,Good,4
7/13/2023 15:22:27,Campus facilities,Very likely,Good,Good,Good,Good,Yes,2,1,Yes,Very Available,Good,Good,Extremely satisfied,Good,Good,3
7/13/2023 15:23:54,Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 15:28:10,Other,Likely,Average,Excellent,Excellent,Excellent,No,4,5,Yes,Very Available,Average,Average,Slightly satisfied,Good,Good,3
7/13/2023 15:48:23,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 16:02:50,Other,Neutral,Average,Average,Average,Average,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Excellent,Excellent,3
7/13/2023 16:06:38,Communication and information,Very likely,Excellent,Good,Good,Good,Yes,4,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 16:08:12,Student support services,Likely,Good,Average,Excellent,Excellent,Yes,4,4,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,4
7/13/2023 16:10:34,Campus facilities,Likely,Good,Average,Good,Average,Yes,4,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
7/13/2023 16:26:53,Student support services,Very likely,Good,Good,Good,Good,No,2,2,Yes,Moderately Available,Good,Good,Not satisfied,Excellent,Excellent,1
7/13/2023 16:33:06,Campus facilities,Likely,Excellent,Excellent,Excellent,Average,No,4,4,Yes,Slightly Available,Excellent,Excellent,Very satisfied,Good,Good,3
7/13/2023 16:49:03,Academics,Likely,Average,Good,Poor,Average,Yes,2,3,No,Slightly Available,Good,Average,Extremely satisfied,Good,Good,3
7/13/2023 16:51:50,Campus facilities,Likely,Excellent,Excellent,Good,Excellent,Yes,4,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
7/13/2023 16:52:44,Communication and information,Neutral,Below Average,Good,Good,Excellent,No,4,5,No,Slightly Available,Excellent,Good,Very satisfied,Average,Average,3
7/13/2023 17:00:23,Other,Likely,Excellent,Excellent,Excellent,Excellent,Yes,4,4,Yes,Very Available,Excellent,Good,Moderately satisfied,Good,Excellent,4
7/13/2023 17:21:36,Campus facilities,Likely,Good,Good,Excellent,Good,Yes,4,4,Yes,Moderately Available,Excellent,Good,Extremely satisfied,Good,Excellent,4
7/13/2023 17:36:11,Academics,Very likely,Good,Good,Good,Good,Yes,2,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,4
7/13/2023 17:36:43,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 17:47:53,Campus facilities,Likely,Good,Excellent,Good,Excellent,Yes,3,3,Yes,Moderately Available,Excellent,Good,Moderately satisfied,Good,Good,3
7/13/2023 18:30:14,Student support services,Likely,Good,Good,Excellent,Excellent,Yes,4,4,Yes,Very Available,Excellent,Good,Very satisfied,Good,Good,4
7/13/2023 18:32:58,Student support services,Likely,Below Average,Excellent,Average,Excellent,Yes,3,4,Yes,Very Available,Excellent,Good,Moderately satisfied,Good,Good,4
7/13/2023 18:41:08,Other,Very likely,Good,Average,Excellent,Excellent,Yes,4,3,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Good,5
7/13/2023 18:50:38,Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Good,Excellent,5
7/13/2023 19:11:32,Student support services,Very likely,Excellent,Good,Excellent,Excellent,Yes,5,4,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Good,5
7/13/2023 19:21:25,Student support services,Likely,Good,Good,Excellent,Excellent,No,5,5,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Good,5
7/13/2023 19:27:22,Student support services,Very likely,Good,Excellent,Average,Average,Yes,4,4,No,Moderately Available,Excellent,Average,Extremely satisfied,Good,Excellent,4
7/13/2023 19:52:47,Campus facilities,Neutral,Average,Average,Below Average,Below Average,No,2,2,Yes,Slightly Available,Good,Good,Slightly satisfied,Excellent,Excellent,2
7/13/2023 19:54:19,Other,Very unlikely,Poor,Poor,Poor,Poor,Yes,1,1,No,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
7/13/2023 19:55:05,Communication and information,Unlikely,Poor,Poor,Poor,Poor,No,2,2,No,Not Available,Below Average,Good,Moderately satisfied,Average,Below Average,2
7/13/2023 19:55:46,Academics,Likely,Good,Good,Good,Good,Yes,1,1,Yes,Very Available,Good,Good,Moderately satisfied,Good,Good,1
7/13/2023 19:55:53,Other,Very unlikely,Poor,Poor,Poor,Poor,No,1,1,No,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
7/13/2023 19:56:01,Student support services,Neutral,Below Average,Average,Average,Average,No,4,2,No,Moderately Available,Average,Good,Slightly satisfied,Good,Good,3
7/13/2023 19:56:05,Campus facilities,Likely,Good,Good,Good,Good,Yes,2,1,No,Not Available,Poor,Good,Not satisfied,Good,Good,1
7/13/2023 19:56:11,Campus facilities,Likely,Good,Good,Good,Good,Yes,5,5,No,Moderately Available,Average,Excellent,Moderately satisfied,Excellent,Excellent,3
7/13/2023 19:56:15,Other,Likely,Good,Below Average,Average,Average,No,3,4,No,Slightly Available,Good,Good,Slightly satisfied,Good,Good,3
7/13/2023 19:56:19,Student support services,Likely,Average,Average,Good,Good,Yes,4,4,No,Slightly Available,Good,Good,Very satisfied,Good,Excellent,3
7/13/2023 19:56:21,Communication and information,Likely,Below Average,Average,Below Average,Poor,Yes,3,3,No,Slightly Available,Average,Average,Slightly satisfied,Average,Average,2
7/13/2023 19:56:26,Campus facilities,Neutral,Average,Average,Average,Average,No,3,3,No,Slightly Available,Average,Average,Slightly satisfied,Good,Good,4
7/13/2023 19:56:32,Other,Likely,Good,Good,Average,Good,Yes,5,5,No,Slightly Available,Good,Average,Slightly satisfied,Good,Excellent,5
7/13/2023 19:56:58,Academics,Likely,Excellent,Good,Good,Good,Yes,5,2,Yes,Moderately Available,Below Average,Good,Extremely satisfied,Excellent,Good,4
7/13/2023 19:57:07,Academics,Unlikely,Average,Below Average,Poor,Poor,No,2,1,No,Slightly Available,Poor,Poor,Moderately satisfied,Average,Average,2
7/13/2023 19:57:20,Communication and information,Likely,Good,Poor,Good,Poor,Yes,4,4,Yes,Slightly Available,Good,Good,Slightly satisfied,Good,Good,4
7/13/2023 19:57:24,Other,Very likely,Excellent,Below Average,Excellent,Average,Yes,4,3,No,Very Available,Good,Good,Very satisfied,Good,Good,5
7/13/2023 19:57:45,Other,Very likely,Good,Good,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Excellent,5
7/13/2023 19:58:03,Academics,Neutral,Good,Good,Good,Good,No,1,1,Yes,Moderately Available,Good,Good,Extremely satisfied,Good,Good,1
7/13/2023 19:58:46,Other,Very unlikely,Poor,Poor,Poor,Poor,No,5,1,No,Not Available,Poor,Poor,Not satisfied,Poor,Poor,1
7/13/2023 19:58:47,Other,Neutral,Average,Average,Good,Good,Yes,3,3,No,Not Available,Average,Average,Not satisfied,Average,Average,3
7/13/2023 19:58:58,Other,Neutral,Average,Good,Average,Below Average,Yes,2,3,Yes,Not Available,Good,Good,Very satisfied,Good,Average,3
7/13/2023 19:59:05,Other,Likely,Excellent,Good,Excellent,Good,No,4,4,No,Moderately Available,Below Average,Good,Moderately satisfied,Excellent,Good,4
7/13/2023 19:59:09,Student support services,Very unlikely,Poor,Excellent,Poor,Excellent,Yes,5,3,No,Not Available,Poor,Poor,Slightly satisfied,Excellent,Excellent,3
7/13/2023 19:59:27,Campus facilities,Likely,Good,Good,Good,Poor,Yes,5,3,Yes,Very Available,Below Average,Good,Moderately satisfied,Excellent,Good,2
7/13/2023 19:59:29,Communication and information,Very unlikely,Below Average,Below Average,Average,Poor,No,4,3,No,Not Available,Below Average,Below Average,Slightly satisfied,Average,Average,4
7/13/2023 19:59:45,Other,Neutral,Average,Average,Average,Average,Yes,3,3,No,Not Available,Average,Average,Not satisfied,Average,Average,3
